name,score,evaluate,meta,url,cover_url
程序设计导论 : Python语言实践,8.5,12,"罗伯特·塞奇威克(RobertSedgewick),凯文·书恩(KevinWayne),罗伯特·唐德罗(RobertDondero),江红,余青松,机械工业出版社,2016-11-1,CNY79.00",https://book.douban.com/subject/26927659/,https://img3.doubanio.com/view/subject/l/public/s29193691.jpg
与孩子一起学编程,8.5,340,"[美]桑德WarrenSande,CarterSande,苏金国,姚曜等,人民邮电出版社,2010-11,65.00元",https://book.douban.com/subject/5338024/,https://img3.doubanio.com/view/subject/l/public/s4518521.jpg
Python语言及其应用 : Python语言及其应用,8.4,121,"[美]BillLubanovic,丁嘉瑞,梁　杰,禹常隆,人民邮电出版社,2016-1,79.00元",https://book.douban.com/subject/26675127/,https://img3.doubanio.com/view/subject/l/public/s28352586.jpg
Python标准库,8.4,122,"DougHellmann,刘炽,机械工业出版社华章公司,2012-6-15,139.00元",https://book.douban.com/subject/10773324/,https://img3.doubanio.com/view/subject/l/public/s10245980.jpg
深入浅出Python（影印版）,8.4,59,"PaulBarry,东南大学出版社,2011-5,88.00元",https://book.douban.com/subject/6892016/,https://img1.doubanio.com/view/subject/l/public/s8851709.jpg
算法图解,8.4,431,"[美]AdityaBhargava,袁国忠,人民邮电出版社,2017-3,49.00元",https://book.douban.com/subject/26979890/,https://img3.doubanio.com/view/subject/l/public/s29358625.jpg
贝叶斯方法 : 概率编程与贝叶斯推断,8.4,23,"[加]CameronDavidson-Pilon,辛愿,钟黎,欧阳婷,人民邮电出版社,2017-1-1,59.00元",https://book.douban.com/subject/26929874/,https://img1.doubanio.com/view/subject/l/public/s29200427.jpg
"Django入门教程
[豆瓣阅读作品]",8.4,206,"〔美〕Django社区,2013-03-11,0.00元",https://read.douban.com/ebook/284513/?dcs=book-search,https://img3.doubanio.com/view/ark_article_cover/retina/public/284513.jpg?v=1395395652.0
Python编程（第三版·英文影印版）,8.3,167,"MarkLutz,东南大学出版社,2006,138.00元",https://book.douban.com/subject/1915868/,https://img3.doubanio.com/view/subject/l/public/s2396946.jpg
趣学Python编程,8.3,74,"JasonBriggs,尹哲,人民邮电出版社,2014-3,45.00元",https://book.douban.com/subject/25837145/,https://img3.doubanio.com/view/subject/l/public/s29754755.jpg
Python学习手册 : （第3版）,8.2,848,"MarkLutz,侯靖,机械工业出版社,2009-8,89.00元",https://book.douban.com/subject/3948354/,https://img1.doubanio.com/view/subject/l/public/s3952568.jpg
