name,score,evaluate,meta,url,cover_url
Python Data Science Handbook : Tools and Techniques for Developers,9.0,32,"JakeVanderPlas,O'ReillyMedia,2016-6-25,USD59.99",https://book.douban.com/subject/26600459/,https://img3.doubanio.com/view/subject/l/public/s28284263.jpg
"The Definitive Guide to Django, 2nd Edition : Web Development Done Right",9.0,102,"AdrianHolovaty,JacobKaplan-Moss,Apress,2009-7-1,USD44.99",https://book.douban.com/subject/3617254/,https://img3.doubanio.com/view/subject/l/public/s4538891.jpg
Python Algorithms : Mastering Basic Algorithms in the Python Language,8.9,70,"MagnusLieHetland,Apress,2010-11-24,USD49.99",https://book.douban.com/subject/4915945/,https://img3.doubanio.com/view/subject/l/public/s6999960.jpg
Dive Into Python 3,8.9,29,"MarkPilgrim,CreateSpaceIndependentPublishingPlatform,2010-1-31,USD34.95",https://book.douban.com/subject/4309422/,https://img1.doubanio.com/view/subject/l/public/s4244739.jpg
Programming Collective Intelligence : Building Smart Web 2.0 Applications,8.9,406,"TobySegaran,O'ReillyMedia,2007-8-26,USD39.99",https://book.douban.com/subject/2209702/,https://img3.doubanio.com/view/subject/l/public/s2653941.jpg
集体智慧编程,8.9,116,"西格兰,东南大学出版社,2008-3-1,58.00元",https://book.douban.com/subject/3056375/,https://img3.doubanio.com/view/subject/l/public/s5891850.jpg
集体智慧编程,8.9,62,"TobySegaran,莫映,王开福,电子工业出版社,2015-3,79.00元",https://book.douban.com/subject/26348921/,https://img1.doubanio.com/view/subject/l/public/s28031189.jpg
从Python开始学编程,8.8,70,"Vamei,电子工业出版社,2016-11-24,CNY49.00",https://book.douban.com/subject/26919485/,https://img1.doubanio.com/view/subject/l/public/s29793528.jpg
Beginning Python : From Novice to Professional (Beginning: From Novice to Professio,8.8,46,"MagnusLieHetland,Apress,2005-09-26,USD44.99",https://book.douban.com/subject/1482162/,https://img1.doubanio.com/view/subject/l/public/s4303988.jpg
Pro Python,8.8,36,"MartyAlchin,Apress,2010-06-15,USD49.99",https://book.douban.com/subject/4249385/,https://img3.doubanio.com/view/subject/l/public/s4600203.jpg
零基础入门学习Python,8.8,33,"小甲鱼,清华大学出版社,2016-11-1,CNY49.50",https://book.douban.com/subject/26966433/,https://img3.doubanio.com/view/subject/l/public/s29322545.jpg
深入浅出程序设计（中文版） : 深入浅出程序设计,8.8,36,"PaulBarry,DavidGriffiths,蒋雁翔,童健,东南大学出版社,2012-1,98.00元",https://book.douban.com/subject/10518092/,https://img1.doubanio.com/view/subject/l/public/s9098469.jpg
Python源码剖析 : 深度探索动态语言核心技术,8.7,687,"陈儒,电子工业出版社,2008-6,69.80元",https://book.douban.com/subject/3117898/,https://img3.doubanio.com/view/subject/l/public/s3435132.jpg
Effective Python : 编写高质量Python代码的59个有效方法,8.7,115,"布雷特·斯拉特金（BrettSlatkin）,爱飞翔,机械工业出版社,2016-1,59",https://book.douban.com/subject/26709315/,https://img3.doubanio.com/view/subject/l/public/s28384052.jpg
A Byte of Python,8.7,1075,"SwaroopCH,LuluMarketplace,2008-10-1,USD27.98",https://book.douban.com/subject/5948760/,https://img3.doubanio.com/view/subject/l/public/s4612135.jpg
深入理解 Flask : 掌握用Python创建强大动态Web应用的技术,8.7,46,"[美]JackStouffer,苏丹,电子工业出版社,2016-7-1,79.00",https://book.douban.com/subject/26838547/,https://img1.doubanio.com/view/subject/l/public/s28905747.jpg
Flask Web开发：基于Python的Web应用开发实战,8.7,439,"[美]MiguelGrinberg,安道,人民邮电出版社,2014-12,59.00元",https://book.douban.com/subject/26274202/,https://img3.doubanio.com/view/subject/l/public/s27906700.jpg
